STUDY_ID	SAMPLE_ID	HLA-A	HLA-B	HLA-C
brca_tcga_pub	TCGA-A8-A07J-01	1.0459	1.1312	0.8471
brca_tcga_pub	TCGA-A8-A07P-01	-0.7677	-0.8629	-0.8858
brca_tcga_pub	TCGA-A8-A083-01	0.2894	0.1228	0.3837
brca_tcga_pub	TCGA-A8-A086-01	-0.3249	-0.4439	-0.2842
brca_tcga_pub	TCGA-A8-A08A-01	0.2969	0.6866	0.5422
brca_tcga_pub	TCGA-A8-A08C-01	-0.0961	0.1258	0.1031
brca_tcga_pub	TCGA-A8-A08O-01	-1.3569	-0.8661	-1.0443
brca_tcga_pub	TCGA-A8-A08T-01	-1.0111	-0.4308	-0.9428
brca_tcga_pub	TCGA-A8-A08Z-01	0.1138	0.0598	0.1434
brca_tcga_pub	TCGA-A8-A090-01	0.4223	0.6226	0.5662
brca_tcga_pub	TCGA-A8-A091-01	-1.3545	-1.0504	-0.993
brca_tcga_pub	TCGA-A8-A093-01	-1.052	-0.544	-0.8589
brca_tcga_pub	TCGA-A8-A099-01	0.0095	-0.1791	0.3227
brca_tcga_pub	TCGA-A8-A09A-01	-0.6818	0.0771	-0.6936
brca_tcga_pub	TCGA-A8-A09B-01	-0.6759	-0.2711	-0.6413
brca_tcga_pub	TCGA-A8-A09T-01	-0.18	-0.1269	-0.3588
brca_tcga_pub	TCGA-A8-A09V-01	-1.0592	-0.7424	-1.0264
brca_tcga_pub	TCGA-A8-A0A1-01	1.0153	1.2998	0.9849
brca_tcga_pub	TCGA-A8-A0A2-01	-0.9007	-0.6779	-0.6042
brca_tcga_pub	TCGA-A8-A0A4-01	-0.4251	-0.5211	-0.552
brca_tcga_pub	TCGA-A8-A0A6-01	2.0233	1.6807	1.6556
brca_tcga_pub	TCGA-A8-A0AD-01	-0.0608	-0.715	-0.4649
brca_tcga_pub	TCGA-AN-A03X-01	-0.5108	-0.2406	-0.5548
brca_tcga_pub	TCGA-AN-A046-01	0.7257	0.5168	0.5125
brca_tcga_pub	TCGA-AN-A04A-01	-0.4759	-0.9766	-0.6858
brca_tcga_pub	TCGA-AN-A0FD-01	0.831	1.2188	0.4619
brca_tcga_pub	TCGA-AN-A0FN-01	0.5811	0.7503	0.5064
brca_tcga_pub	TCGA-AN-A0FS-01	-0.9525	-0.845	-1.2391
brca_tcga_pub	TCGA-AN-A0FT-01	-1.3275	-1.2778	-0.8375
brca_tcga_pub	TCGA-AN-A0FW-01	-0.4457	-0.6191	-1.1257
brca_tcga_pub	TCGA-AN-A0FZ-01	-2.2552	-1.8706	-2.294
brca_tcga_pub	TCGA-AN-A0XL-01	-0.8258	-0.8548	-1.0759
brca_tcga_pub	TCGA-AN-A0XN-01	0.5171	0.6962	0.5682
brca_tcga_pub	TCGA-AN-A0XO-01	-0.7616	-0.6818	-0.2345
brca_tcga_pub	TCGA-AN-A0XP-01	1.2396	1.4406	2.1217
brca_tcga_pub	TCGA-AN-A0XS-01	0.2549	0.1386	0.6271
brca_tcga_pub	TCGA-AN-A0XT-01	-1.0976	-1.0143	-0.7228
brca_tcga_pub	TCGA-AN-A0XV-01	0.6567	0.8507	0.5744
brca_tcga_pub	TCGA-AR-A0TW-01	0.2366	0.6649	0.349
brca_tcga_pub	TCGA-AR-A1AK-01	0.8117	0.5412	0.8428
brca_tcga_pub	TCGA-AR-A1AL-01	-0.4462	-0.2692	-0.2936
brca_tcga_pub	TCGA-AR-A1AN-01	-0.2429	-0.6432	-0.5434
brca_tcga_pub	TCGA-AR-A1AP-01	-0.0259	-0.2399	-0.0418
brca_tcga_pub	TCGA-AR-A1AS-01	-0.4704	-0.7478	-1.0655
brca_tcga_pub	TCGA-AR-A1AU-01	-0.7225	-1.1629	-0.7891
brca_tcga_pub	TCGA-AR-A1AW-01	-0.8277	-0.6474	-0.5818
brca_tcga_pub	TCGA-AR-A1AX-01	1.7182	1.1182	1.4941
brca_tcga_pub	TCGA-BH-A0AZ-01	1.017	0.7144	0.6077
brca_tcga_pub	TCGA-BH-A0B0-01	1.4698	1.491	1.2401
brca_tcga_pub	TCGA-BH-A0BM-01	-0.5163	-0.6267	0.2706
brca_tcga_pub	TCGA-BH-A0BO-01	0.0162	0.1949	-0.0612
brca_tcga_pub	TCGA-BH-A0BP-01	-1.1264	-0.8634	-0.8085
brca_tcga_pub	TCGA-BH-A0BQ-01	0.1288	0.5599	-0.3247
