STUDY_ID	SAMPLE_ID	CD274
brca_tcga	TCGA-AC-A5EH-01	-0.3127
brca_tcga	TCGA-AC-A5XU-01	-0.4929
brca_tcga	TCGA-AR-A5QN-01	-0.3811
brca_tcga	TCGA-AR-A5QP-01	-0.3834
brca_tcga	TCGA-AR-A5QQ-01	5.1239
brca_tcga	TCGA-E9-A5UO-01	-0.4485
brca_tcga	TCGA-E9-A5UP-01	-0.4532
brca_tcga	TCGA-GM-A5PV-01	-0.421
brca_tcga	TCGA-GM-A5PX-01	-0.6427
brca_tcga	TCGA-LL-A5YM-01	-0.3543
brca_tcga	TCGA-LL-A5YN-01	-0.6033
brca_tcga	TCGA-LL-A5YO-01	-0.0316
brca_tcga	TCGA-LL-A5YP-01	-0.3537
brca_tcga	TCGA-OL-A5RU-01	-0.2761
brca_tcga	TCGA-OL-A5RV-01	-0.5498
brca_tcga	TCGA-OL-A5RW-01	-0.2406
brca_tcga	TCGA-OL-A5RX-01	-0.3999
brca_tcga	TCGA-OL-A5RY-01	-0.4197
brca_tcga	TCGA-OL-A5RZ-01	-0.6491
brca_tcga	TCGA-OL-A5S0-01	-0.519
brca_tcga	TCGA-A7-A5ZW-01	-0.1949
brca_tcga	TCGA-A7-A5ZX-01	-0.4034
brca_tcga	TCGA-AC-A5XS-01	-0.5934
brca_tcga	TCGA-AC-A62X-01	1.1196
brca_tcga	TCGA-AC-A62Y-01	-0.5958
brca_tcga	TCGA-E2-A56Z-01	-0.6543
brca_tcga	TCGA-E2-A570-01	-0.4291
brca_tcga	TCGA-E2-A573-01	0.1284
brca_tcga	TCGA-E2-A574-01	-0.6809
brca_tcga	TCGA-LL-A5YL-01	-0.6368
brca_tcga	TCGA-OL-A66H-01	-0.4873
brca_tcga	TCGA-OL-A66I-01	-0.2187
brca_tcga	TCGA-OL-A66J-01	-0.4707
brca_tcga	TCGA-OL-A66K-01	0.9069
brca_tcga	TCGA-A2-A0CX-01	0.1466
brca_tcga	TCGA-A2-A0D0-01	-0.0924
brca_tcga	TCGA-A2-A0D4-01	-0.516
brca_tcga	TCGA-A7-A0CD-01	-0.3873
brca_tcga	TCGA-A7-A0CE-01	0.0268
brca_tcga	TCGA-A7-A0CG-01	-0.0281
brca_tcga	TCGA-A7-A0CH-01	-0.4124
brca_tcga	TCGA-A7-A0CJ-01	0.0111
brca_tcga	TCGA-A7-A0DB-01	-0.2164
brca_tcga	TCGA-A8-A06N-01	0.0206
brca_tcga	TCGA-A8-A06O-01	-0.1171
brca_tcga	TCGA-A8-A06P-01	-0.3882
brca_tcga	TCGA-A8-A06R-01	-0.1737
brca_tcga	TCGA-A8-A06T-01	0.0114
brca_tcga	TCGA-A8-A06U-01	-0.2092
brca_tcga	TCGA-A8-A06X-01	0.3191
brca_tcga	TCGA-A8-A06Y-01	-0.6219
brca_tcga	TCGA-A8-A06Z-01	-0.4974
brca_tcga	TCGA-A8-A076-01	0.0381
brca_tcga	TCGA-A8-A079-01	-0.4241
brca_tcga	TCGA-A8-A07B-01	-0.4936
brca_tcga	TCGA-A8-A07F-01	-0.1423
brca_tcga	TCGA-A8-A07I-01	0.8485
brca_tcga	TCGA-A8-A07J-01	-0.2786
brca_tcga	TCGA-A8-A07L-01	-0.4652
brca_tcga	TCGA-A8-A07O-01	-0.3467
brca_tcga	TCGA-A8-A07P-01	-0.3299
brca_tcga	TCGA-A8-A07W-01	-0.2227
brca_tcga	TCGA-A8-A07Z-01	-0.0081
brca_tcga	TCGA-A8-A081-01	0.3444
brca_tcga	TCGA-A8-A082-01	-0.4271
brca_tcga	TCGA-A8-A083-01	-0.0078
